timestamp,lap,ego_x,ego_y,ego_vel,ego_s,ego_d,opp_x,opp_y,opp_vel,opp_s,opp_d,rel_x,rel_y,rel_vel,rel_s,rel_d,imm_trajectory,imm_active
1784490207.6440632,0,-29.06876742848892,35.45356439225138,0.8366347347589209,169.6563765094877,-0.4133681078611016,-33.92633398873351,36.02249703793067,1.535589247938901,213.91100911125486,-0.014197553337304214,-4.857566560244592,0.5689326456792898,0.6989545131799801,44.254632601767156,0.3991705545237974,"[(-29.10912751952138, 35.452960551647585), (-29.08248743765566, 35.43459940002325), (-29.055672122855825, 35.41606297087419), (-29.02868157909185, 35.397351267504824), (-29.001515810347772, 35.378464293233655), (-28.97417482062169, 35.359402051393246), (-28.94665861392575, 35.34016454533023), (-28.918967194286143, 35.3207517784053), (-28.89110056574313, 35.301163753993215), (-28.86305873235102, 35.2814004754828), (-28.834841698178174, 35.26146194627694), (-28.806449467307004, 35.24134816979258), (-28.777882043833973, 35.221059149460736), (-28.749139431869597, 35.200594888726485), (-28.720221635538444, 35.17995539104896), (-28.69112865897913, 35.15914065990136), (-28.661860506344325, 35.13815069877094), (-28.63241718180074, 35.11698551115903), (-28.602798689529145, 35.095645100581), (-28.573005033724353, 35.0741294705663), (-28.543036218595223, 35.052438624658414), (-28.512892248364665, 35.03057256641492), (-28.48257312726964, 35.008531299407416), (-28.452078859561144, 34.986314827221584), (-28.421409449504228, 34.96392315345716), (-28.39056490137799, 34.94135628172793), (-28.359545219475564, 34.918614215661734), (-28.328350408104136, 34.89569695890048), (-28.296980471584934, 34.87260451510012), (-28.26543541425323, 34.849336887930676), (-28.233715240458338, 34.825894081076214), (-28.20181995456361, 34.802276098234856), (-28.169749560946457, 34.77848294311878), (-28.13750406399831, 34.75451461945422), (-28.105083468124654, 34.73037113098145), (-28.07248777774501, 34.70605248145482), (-28.03971699729294, 34.68155867464271), (-28.006771131216045, 34.65688971432756), (-27.973650183975973, 34.63204560430587), (-27.9403541600484, 34.60702634838818), (-27.906883063923043, 34.58183195039908), (-27.873236900103656, 34.55646241417721), (-27.83941567310803, 34.53091774357528), (-27.805419387467996, 34.50519794246002), (-27.771248047729422, 34.47930301471223)]",True
1784490207.6763797,0,-29.060694602748463,35.45150446477794,0.8296668104751348,169.6563765094877,-0.4133681078611016,-33.91195212521892,36.01837593320575,1.4565441738878664,213.91100911125486,-0.014197553337304214,-4.851257522470455,0.5668714684278129,0.6268773634127316,44.254632601767156,0.3991705545237974,"[(-29.09256712720335, 35.44851531464282), (-29.06642920742162, 35.430379070712895), (-29.0401158667753, 35.412067362753994), (-29.01362710920409, 35.39358019406091), (-28.98696293866181, 35.37491756794256), (-28.960123359116377, 35.35607948772198), (-28.93310837454982, 35.33706595673631), (-28.905917988958272, 35.317876978336834), (-28.87855220635197, 35.29851255588892), (-28.851011030755256, 35.27897269277207), (-28.82329446620658, 35.259257392379894), (-28.795402516758493, 35.23936665812012), (-28.76733518647765, 35.219300493414586), (-28.739092479444803, 35.199058901699246), (-28.71067439975481, 35.17864188642417), (-28.68208095151664, 35.15804945105352), (-28.65331213885335, 35.13728159906561), (-28.62436796590211, 35.11633833395283), (-28.595248436814177, 35.095219659221705), (-28.56595355575492, 35.07392557839285), (-28.5364833269038, 35.05245609500101), (-28.506837754454377, 35.030811212595026), (-28.477016842614315, 35.00899093473785), (-28.447020595605373, 34.98699526500656), (-28.41684901766341, 34.964824206992326), (-28.386502113038375, 34.94247776430042), (-28.355979885994323, 34.91995594055024), (-28.325282340809398, 34.89725873937528), (-28.294409481775844, 34.87438616442316), (-28.263361313199997, 34.85133821935557), (-28.232137839402288, 34.82811490784834), (-28.20073906471724, 34.80471623359139), (-28.169164993493478, 34.781142200288755), (-28.137415630093713, 34.75739281165856), (-28.10549097889475, 34.73346807143305), (-28.073391044287487, 34.70936798335857), (-28.04111583067691, 34.68509255119555), (-28.008665342482104, 34.660641778718556), (-27.976039584136235, 34.63601566971623), (-27.943238560086566, 34.611214227991326), (-27.910262274794448, 34.586237457360696), (-27.87711073273532, 34.5610853616553), (-27.843783938398715, 34.535757944720196), (-27.810281896288245, 34.51025521041454), (-27.77660461092161, 34.48457716261159)]",True
1784490207.7357304,0,-25.079073312403366,-6.995306664992121,0.11535311023388647,169.6563765094877,-0.4133681078611016,-29.50839206515631,-7.960600204068,0.16149435260854578,213.91100911125486,-0.014197553337304214,-4.429318752752945,-0.965293539075879,0.0461412423746593,44.254632601767156,0.3991705545237974,"[(-29.06908061392018, 35.44210323772971), (-29.04585916212714, 35.42500351215731), (-29.022462297140315, 35.40772834036892), (-28.998890022663765, 35.39027772557528), (-28.97514234241566, 35.37265167100126), (-28.95121926012827, 35.35485017988584), (-28.92712077954798, 35.336873255482104), (-28.90284690443528, 35.31872090105727), (-28.878397638564756, 35.30039311989265), (-28.853772985725108, 35.28188991528367), (-28.82897294971913, 35.26321129053988), (-28.803997534363727, 35.24435724898493), (-28.778846743489908, 35.225327793956595), (-28.75352058094278, 35.20612292880674), (-28.728019050581555, 35.18674265690136), (-28.702342156279542, 35.167186981620546), (-28.676489901924164, 35.14745590635851), (-28.65046229141693, 35.12754943452356), (-28.624259328673453, 35.10746756953812), (-28.59788101762345, 35.087210314838735), (-28.571327362210738, 35.06677767387604), (-28.544598366393227, 35.04616965011478), (-28.51769403414293, 35.02538624703381), (-28.490614369445957, 35.00442746812609), (-28.463359376302517, 34.98329331689869), (-28.435929058726913, 34.96198379687279), (-28.408323420747543, 34.94049891158365), (-28.380542466406908, 34.918838664580676), (-28.3525861997616, 34.89700305942734), (-28.324454624882307, 34.87499209970124), (-28.296147745853812, 34.85280578899407), (-28.26766556677499, 34.83044413091163), (-28.239008091758816, 34.80790712907382), (-28.21017532493235, 34.78519478711464), (-28.181167270436752, 34.7623071086822), (-28.151983932427267, 34.73924409743871), (-28.122625315073236, 34.716005757060465), (-28.093091422558096, 34.692592091237884), (-28.06338225907937, 34.66900310367547), (-28.033497828848667, 34.64523879809184), (-28.00343813609169, 34.62129917821969), (-27.97320318504824, 34.59718424780582), (-27.942792979972193, 34.57289401061115), (-27.91220752513152, 34.54842847041068), (-27.88144682480828, 34.523787630993496)]",True
1784490207.7792146,0,-25.076986063163265,-6.993221388673877,0.17891504222799254,169.6563765094877,-0.4133681078611016,-29.504003025546552,-7.960603672490728,0.3021712963687455,213.91100911125486,-0.014197553337304214,-4.427016962383288,-0.9673822838168507,0.12325625414075297,44.254632601767156,0.3991705545237974,"[(-29.0631407808023, 35.44055254328319), (-29.042149134124056, 35.42419725461679), (-29.020981719310665, 35.407666172731496), (-28.999638539903543, 35.39095930079329), (-28.97811959945831, 35.3740766419824), (-28.9564249015448, 35.35701819949323), (-28.934554449747036, 35.33978397653443), (-28.912508247663254, 35.32237397632883), (-28.890286298905895, 35.30478820211348), (-28.867888607101595, 35.28702665713965), (-28.8453151758912, 35.26908934467281), (-28.822566008929762, 35.250976267992634), (-28.79964110988652, 35.23268743039301), (-28.776540482444926, 35.21422283518203), (-28.75326413030263, 35.195582485681996), (-28.729812057171483, 35.17676638522941), (-28.70618426677753, 35.157774537175), (-28.682380762861026, 35.138606944883676), (-28.658401549176418, 35.11926361173456), (-28.634246629492353, 35.099744541120984), (-28.60991600759167, 35.08004973645048), (-28.585409687271422, 35.0601792011448), (-28.560727672342843, 35.040132938639864), (-28.535869966631367, 35.019910952385835), (-28.51083657397663, 34.999513245847055), (-28.485627498232457, 34.97893982250207), (-28.46024274326688, 34.95819068584364), (-28.434682312962114, 34.93726583937872), (-28.40894621121457, 34.916165286628456), (-28.383034441934857, 34.894889031128216), (-28.356947009047776, 34.87343707642755), (-28.33068391649232, 34.85180942609021), (-28.304245168221673, 34.83000608369416), (-28.277630768203217, 34.80802705283155), (-28.250840720418523, 34.78587233710873), (-28.22387502886335, 34.763541940146254), (-28.196733697547653, 34.74103586557887), (-28.169416730495573, 34.71835411705553), (-28.14192413174544, 34.695496698239374), (-28.11425590534978, 34.67246361280773), (-28.086412055375295, 34.649254864452146), (-28.058392585902887, 34.625870456878346), (-28.030197501027647, 34.602310393806256), (-28.001826804858844, 34.57857467897), (-27.973280501519938, 34.55466331611789)]",True
1784490207.890061,0,-25.074043148381808,-6.9902784438365435,0.23657594817660263,169.6563765094877,-0.4133681078611016,-29.496071240125765,-7.960622488848271,0.4896480421451624,213.91100911125486,-0.014197553337304214,-4.422028091743957,-0.9703440450117276,0.2530720939685598,44.254632601767156,0.3991705545237974,"[(-29.05577818635729, 35.438616203500665), (-29.03552058133607, 35.42252144567469), (-29.015087064371823, 35.40625075335823), (-28.994477638953136, 35.38980412970215), (-28.97369230858283, 35.37318157787156), (-28.952731076777972, 35.35638310104584), (-28.931593947069878, 35.3394087024186), (-28.9102809230041, 35.322258385197706), (-28.88879200814043, 35.30493215260527), (-28.867127206052913, 35.287430007877646), (-28.84528652032983, 35.269751954265445), (-28.8232699545737, 35.251897995033524), (-28.801077512401285, 35.23386813346098), (-28.778709197443593, 35.21566237284116), (-28.756165013345864, 35.19728071648166), (-28.73344496376758, 35.178723167704305), (-28.71054905238247, 35.159989729845186), (-28.687477282878483, 35.14108040625463), (-28.664229658957822, 35.12199520029721), (-28.640806184336927, 35.10273411535173), (-28.617206862746468, 35.083297154811255), (-28.593431697931358, 35.06368432208308), (-28.569480693650743, 35.04389562058874), (-28.545353853678005, 35.02393105376404), (-28.52105118180076, 35.00379062505898), (-28.49657268182086, 34.98347433793784), (-28.4719183575544, 34.96298219587912), (-28.447088212831694, 34.94231420237557), (-28.422082251497297, 34.92147036093417), (-28.39690047741, 34.90045067507616), (-28.371542894442825, 34.87925514833698), (-28.346009506483025, 34.85788378426635), (-28.320300317432086, 34.8363365864282), (-28.29441533120572, 34.81461355840072), (-28.268354551733875, 34.79271470377632), (-28.242117982960732, 34.770640026161644), (-28.215705628844695, 34.74838952917758), (-28.189117493358403, 34.725963216459256), (-28.162353580488723, 34.70336109165603), (-28.135413894236745, 34.68058315843149), (-28.108298438617794, 34.657629420463465), (-28.08100721766142, 34.63449988144402), (-28.053540235411397, 34.61119454507945), (-28.025897495925737, 34.58771341509028), (-27.998079003276658, 34.56405649521127)]",True
1784490207.930016,0,-25.05211897437018,-6.968448098072626,0.4365747877995085,169.6563765094877,-0.4133681078611016,-29.420422506406226,-7.964484183415302,1.1464681020473837,213.91100911125486,-0.014197553337304214,-4.368303532036045,-0.9960360853426762,0.7098933142478752,44.254632601767156,0.3991705545237974,"[(-24.537828671582037, -7.8171239133860695), (-24.026578675179987, -8.328373909788121), (-23.50782868117657, -8.847123903791541), (-22.981578689571784, -9.373373895396327), (-22.44782870036563, -9.90712388460248), (-21.906578713558112, -10.448373871410002), (-21.357828729149226, -10.997123855818892), (-20.801578747138972, -11.553373837829149), (-20.23782876752735, -12.117123817440772), (-19.66657879031436, -12.688373794653764), (-19.087828815500004, -13.267123769468123), (-18.50157884308428, -13.85337374188385), (-17.907828873067185, -14.447123711900943), (-17.306578905448724, -15.048373679519404), (-16.697828940228895, -15.657123644739233), (-16.081578977407702, -16.27337360756043), (-15.457829016985139, -16.897123567982995), (-14.826579058961206, -17.528373526006927), (-14.187829103335908, -18.167123481632228), (-13.541579150109241, -18.813373434858896), (-12.887829199281207, -19.46712338568693), (-12.226579250851804, -20.12837333411633), (-11.557829304821034, -20.797123280147098), (-10.881579361188898, -21.473373223779234), (-10.197829419955394, -22.157123165012738), (-9.506579481120522, -22.84837310384761), (-8.807829544684282, -23.54712304028385), (-8.101579610646674, -24.253372974321458), (-7.387829679007699, -24.967122905960434), (-6.666579749767356, -25.688372835200777), (-5.9378298229256465, -26.417122762042485), (-5.201579898482569, -27.15337268648556), (-4.457829976438124, -27.897122608530005), (-3.706580056792312, -28.648372528175816), (-2.947830139545132, -29.407122445422996), (-2.1815802246965847, -30.173372360271543), (-1.40783031224667, -30.947122272721458), (-0.6265804021953878, -31.72837218277274), (0.16216950545726194, -32.51712209042539), (0.9584194107112792, -33.313371995679404), (1.7621693135666638, -34.11712189853479), (2.5734192140234162, -34.92837179899154), (3.392169112081536, -35.747121697049664), (4.218419007741024, -36.57337159270915), (5.052168901001879, -37.40712148597001)]",True
1784490207.976057,0,-25.0386771215359,-6.9553201183398485,0.5009224638634898,169.6563765094877,-0.4133681078611016,-29.370305901271582,-7.967605820193351,1.3577935503679968,213.91100911125486,-0.014197553337304214,-4.331628779735681,-1.0122857018535028,0.8568710865045069,44.254632601767156,0.3991705545237974,"[(-24.540986169936325, -7.83220403802547), (-24.032429487332116, -8.343454037930577), (-23.51816834965844, -8.862204037772424), (-22.998202756915287, -9.388454037551007), (-22.472532709102666, -9.92220403726633), (-21.94115820622057, -10.46345403691839), (-21.404079248269003, -11.01220403650719), (-20.861295835247965, -11.568454036032728), (-20.312807967157454, -12.132204035495004), (-19.758615643997473, -12.703454034894019), (-19.19871886576802, -13.282204034229771), (-18.63311763246909, -13.868454033502262), (-18.061811944100693, -14.462204032711492), (-17.484801800662822, -15.06345403185746), (-16.90208720215548, -15.672204030940167), (-16.313668148578667, -16.28845402995961), (-15.719544639932382, -16.91220402891579), (-15.119716676216623, -17.543454027808714), (-14.51418425743139, -18.182204026638374), (-13.902947383576686, -18.82845402540477), (-13.28600605465251, -19.482204024107908), (-12.663360270658863, -20.143454022747783), (-12.035010031595744, -20.812204021324394), (-11.400955337463152, -21.488454019837747), (-10.761196188261088, -22.172204018287836), (-10.115732583989553, -22.863454016674662), (-9.464564524648546, -23.56220401499823), (-8.807692010238068, -24.268454013258534), (-8.145115040758116, -24.98220401145558), (-7.476833616208692, -25.70345400958936), (-6.802847736589798, -26.43220400765988), (-6.123157401901432, -27.16845400566714), (-5.437762612143594, -27.912204003611137), (-4.746663367316284, -28.66345400149187), (-4.0498596674195015, -29.422203999309346), (-3.3473515124532476, -30.188453997063558), (-2.6391389024175216, -30.962203994754507), (-1.9252218373123235, -31.743453992382197), (-1.2056003171376535, -32.53220398994662), (-0.4802743418935115, -33.32845398744779), (0.2507560884201024, -34.13220398488569), (0.9874909738031883, -34.94345398226034), (1.7299303142557463, -35.762203979571716), (2.478074109777776, -36.588453976819835), (3.2319223603692775, -37.422203974004695)]",True
1784490208.025344,0,-24.986121535712112,-6.921709317141119,0.6249960587803514,169.6563765094877,-0.4133681078611016,-29.196927800197813,-7.9788656562872635,1.7652660447046258,213.91100911125486,-0.014197553337304214,-4.210806264485701,-1.057156339146145,1.1402699859242744,44.254632601767156,0.3991705545237974,"[(-24.75563382164295, -7.672047471486699), (-24.474684399195258, -8.160805948312783), (-24.20122932553018, -8.642070076356257), (-23.93526860064771, -9.11583985561712), (-23.676802224547853, -9.582115286095373), (-23.425830197230606, -10.040896367791015), (-23.18235251869597, -10.492183100704047), (-22.946369188943944, -10.935975484834469), (-22.717880207974527, -11.37227352018228), (-22.496885575787722, -11.801077206747479), (-22.283385292383528, -12.22238654453007), (-22.077379357761945, -12.636201533530048), (-21.878867771922973, -13.042522173747416), (-21.68785053486661, -13.441348465182175), (-21.504327646592856, -13.832680407834323), (-21.328299107101714, -14.216518001703859), (-21.159764916393183, -14.592861246790786), (-20.998725074467263, -14.961710143095102), (-20.845179581323954, -15.323064690616807), (-20.699128436963253, -15.676924889355902), (-20.560571641385163, -16.023290739312387), (-20.429509194589684, -16.36216224048626), (-20.305941096576817, -16.693539392877522), (-20.18986734734656, -17.017422196486176), (-20.081287946898914, -17.33381065131222), (-19.980202895233877, -17.642704757355652), (-19.88661219235145, -17.944104514616473), (-19.800515838251634, -18.238009923094683), (-19.72191383293443, -18.524420982790282), (-19.650806176399836, -18.803337693703273), (-19.587192868647854, -19.074760055833654), (-19.53107390967848, -19.338688069181423), (-19.482449299491716, -19.59512173374658), (-19.441319038087563, -19.844061049529127), (-19.407683125466022, -20.085506016529067), (-19.381541561627092, -20.319456634746395), (-19.36289434657077, -20.54591290418111), (-19.351741480297058, -20.764874824833218), (-19.348082962805957, -20.976342396702712), (-19.351918794097468, -21.180315619789596), (-19.36324897417159, -21.376794494093872), (-19.382073503028323, -21.565779019615537), (-19.408392380667664, -21.74726919635459), (-19.442205607089615, -21.921265024311033), (-19.48351318229418, -22.087766503484865)]",True
1784490208.0829372,0,-24.986121535712112,-6.921709317141119,0.6249960587803514,169.6563765094877,-0.4133681078611016,-29.196927800197813,-7.9788656562872635,1.7652660447046258,213.91100911125486,-0.014197553337304214,-4.210806264485701,-1.057156339146145,1.1402699859242744,44.254632601767156,0.3991705545237974,"[(-24.75563382164295, -7.672047471486699), (-24.474684399195258, -8.160805948312783), (-24.20122932553018, -8.642070076356257), (-23.93526860064771, -9.11583985561712), (-23.676802224547853, -9.582115286095373), (-23.425830197230606, -10.040896367791015), (-23.18235251869597, -10.492183100704047), (-22.946369188943944, -10.935975484834469), (-22.717880207974527, -11.37227352018228), (-22.496885575787722, -11.801077206747479), (-22.283385292383528, -12.22238654453007), (-22.077379357761945, -12.636201533530048), (-21.878867771922973, -13.042522173747416), (-21.68785053486661, -13.441348465182175), (-21.504327646592856, -13.832680407834323), (-21.328299107101714, -14.216518001703859), (-21.159764916393183, -14.592861246790786), (-20.998725074467263, -14.961710143095102), (-20.845179581323954, -15.323064690616807), (-20.699128436963253, -15.676924889355902), (-20.560571641385163, -16.023290739312387), (-20.429509194589684, -16.36216224048626), (-20.305941096576817, -16.693539392877522), (-20.18986734734656, -17.017422196486176), (-20.081287946898914, -17.33381065131222), (-19.980202895233877, -17.642704757355652), (-19.88661219235145, -17.944104514616473), (-19.800515838251634, -18.238009923094683), (-19.72191383293443, -18.524420982790282), (-19.650806176399836, -18.803337693703273), (-19.587192868647854, -19.074760055833654), (-19.53107390967848, -19.338688069181423), (-19.482449299491716, -19.59512173374658), (-19.441319038087563, -19.844061049529127), (-19.407683125466022, -20.085506016529067), (-19.381541561627092, -20.319456634746395), (-19.36289434657077, -20.54591290418111), (-19.351741480297058, -20.764874824833218), (-19.348082962805957, -20.976342396702712), (-19.351918794097468, -21.180315619789596), (-19.36324897417159, -21.376794494093872), (-19.382073503028323, -21.565779019615537), (-19.408392380667664, -21.74726919635459), (-19.442205607089615, -21.921265024311033), (-19.48351318229418, -22.087766503484865)]",True
1784490208.127817,0,-24.986121535712112,-6.921709317141119,0.6249960587803514,169.6563765094877,-0.4133681078611016,-29.196927800197813,-7.9788656562872635,1.7652660447046258,213.91100911125486,-0.014197553337304214,-4.210806264485701,-1.057156339146145,1.1402699859242744,44.254632601767156,0.3991705545237974,"[(-24.75563382164295, -7.672047471486699), (-24.474684399195258, -8.160805948312783), (-24.20122932553018, -8.642070076356257), (-23.93526860064771, -9.11583985561712), (-23.676802224547853, -9.582115286095373), (-23.425830197230606, -10.040896367791015), (-23.18235251869597, -10.492183100704047), (-22.946369188943944, -10.935975484834469), (-22.717880207974527, -11.37227352018228), (-22.496885575787722, -11.801077206747479), (-22.283385292383528, -12.22238654453007), (-22.077379357761945, -12.636201533530048), (-21.878867771922973, -13.042522173747416), (-21.68785053486661, -13.441348465182175), (-21.504327646592856, -13.832680407834323), (-21.328299107101714, -14.216518001703859), (-21.159764916393183, -14.592861246790786), (-20.998725074467263, -14.961710143095102), (-20.845179581323954, -15.323064690616807), (-20.699128436963253, -15.676924889355902), (-20.560571641385163, -16.023290739312387), (-20.429509194589684, -16.36216224048626), (-20.305941096576817, -16.693539392877522), (-20.18986734734656, -17.017422196486176), (-20.081287946898914, -17.33381065131222), (-19.980202895233877, -17.642704757355652), (-19.88661219235145, -17.944104514616473), (-19.800515838251634, -18.238009923094683), (-19.72191383293443, -18.524420982790282), (-19.650806176399836, -18.803337693703273), (-19.587192868647854, -19.074760055833654), (-19.53107390967848, -19.338688069181423), (-19.482449299491716, -19.59512173374658), (-19.441319038087563, -19.844061049529127), (-19.407683125466022, -20.085506016529067), (-19.381541561627092, -20.319456634746395), (-19.36289434657077, -20.54591290418111), (-19.351741480297058, -20.764874824833218), (-19.348082962805957, -20.976342396702712), (-19.351918794097468, -21.180315619789596), (-19.36324897417159, -21.376794494093872), (-19.382073503028323, -21.565779019615537), (-19.408392380667664, -21.74726919635459), (-19.442205607089615, -21.921265024311033), (-19.48351318229418, -22.087766503484865)]",True
